County,City
0,469
Alameda,262
Amador,10
Butte,14
Colusa,1
Contra Costa,137
Del Norte,1
El Dorado,20
Fresno,69
Humboldt,27
Imperial,1
Inyo,1
Kern,23
Kings,14
Lassen,2
Los Angeles,1097
Madera,9
Marin,62
Mendocino,15
Merced,14
Modoc,1
Mono,5
Monterey,59
Napa,88
Nevada,15
Orange,455
Placer,44
Riverside,211
Sacramento,182
San Benito,6
San Bernardino,133
San Diego,448
San Francisco,182
San Joaquin,38
San Luis Obispo,75
San Mateo,226
Santa Barbara,74
Santa Clara,486
Santa Cruz,32
Shasta,11
Siskiyou,5
Solano,57
Sonoma,121
Stanislaus,27
Sutter,1
Tehama,3
Tulare,17
Ventura,83
Yolo,54
Yuba,5
